ID-LB,ARS
B100019.LB.102717659,160775052043
B100019.LB.102717661,160775052043
B100019.LB.102717671,160775052043
B100019.LB.102717672,160775052043
B100019.LB.102717693,160775052043
B100019.LB.102719910,160775052043
B100019.LB.102719912,160775052043
B100019.LB.102730300,160775052043
B100019.LB.102730306,160775052043
B100019.LB.102730311,160775052043
B100019.LB.102730312,160775052043
B100019.LB.102730314,160775052043
B100019.LB.102730315,160775052043
B100019.LB.102730318,160775052043
B100019.LB.102730319,160775052043
B100019.LB.102730320,160775052043
B100019.LB.102730340,160775052043
B100019.LB.102730341,160775052043
B100019.LB.102730344,160775052043
B100019.LB.102730347,160775052043
B100019.LB.102730349,160775052043
B100019.LB.102730351,160775052043
B100019.LB.102730353,160775052043
B100019.LB.102730355,160775052043
B100019.LB.102730357,160775052043
B100019.LB.102730390,160775052043
B100019.LB.102730392,160775052043
B100019.LB.102730394,160775052043
B100019.LB.102735200,160775052043
B100019.LB.102735202,160775052043
B100019.LB.102735291,160775052043
B100019.LB.102735295,160775052043
B100019.LB.102735297,160775052043
B100019.LB.102735298,160775052043
B100019.LB.102743700,160775052043
B100019.LB.102743705,160775052043
B100019.LB.102743709,160775052043
B100019.LB.102743711,160775052043
B100019.LB.102743713,160775052043
B100019.LB.102743715,160775052043
B100019.LB.102743716,160775052043
B100019.LB.102743718,160775052043
B100019.LB.102743720,160775052043
B100019.LB.102743722,160775052043
B100019.LB.102743724,160775052043
B100019.LB.102743726,160775052043
B100019.LB.102743728,160775052043
B100019.LB.102743735,160775052043
B100019.LB.102743737,160775052043
B100019.LB.102743739,160775052043
B100019.LB.102743741,160775052043
B100019.LB.102743743,160775052043
B100019.LB.102743745,160775052043
B100019.LB.102743747,160775052043
B100019.LB.102743749,160775052043
B100019.LB.102743751,160775052043
B100019.LB.102743756,160775052043
B100019.LB.102743757,160775052043
B100019.LB.102743759,160775052043
B100019.LB.102743761,160775052043
B100019.LB.102743763,160775052043
B100019.LB.102743765,160775052043
B100019.LB.102743768,160775052043
B100019.LB.102743770,160775052043
B100019.LB.102743772,160775052043
B100019.LB.102743774,160775052043
B100019.LB.102743776,160775052043
B100019.LB.102743778,160775052043
B100019.LB.102743780,160775052043
B100019.LB.102743782,160775052043
B100019.LB.102743784,160775052043
B100019.LB.102743786,160775052043
B100019.LB.102743788,160775052043
B100019.LB.102743790,160775052043
B100019.LB.102743792,160775052043
B100019.LB.102743794,160775052043
B100019.LB.102743798,160775052043
B100019.LB.102748100,160775052043
B100019.LB.102748102,160775052043
B100019.LB.102748104,160775052043
B100019.LB.102748106,160775052043
B100019.LB.102748108,160775052043
B100019.LB.102748110,160775052043
B100019.LB.102748112,160775052043
B100019.LB.102748116,160775052043
B100019.LB.102748118,160775052043
B100019.LB.102748120,160775052043
B100019.LB.102748122,160775052043
B100019.LB.102748124,160775052043
B100019.LB.102748126,160775052043
B100019.LB.102748128,160775052043
B100019.LB.102748130,160775052043
B100019.LB.102748132,160775052043
B100019.LB.102748133,160775052043
B100019.LB.102748135,160775052043
B100019.LB.102748136,160775052043
B100019.LB.102749533,160775052043
B100019.LB.102749534,160775052043
B100019.LB.102749595,160775052043
B100019.LB.102751158,160775052043
B100019.LB.102751160,160775052043
B100019.LB.102751162,160775052043
B100019.LB.102751181,160775052043
B100019.LB.102751196,160775052043
B100019.LB.102751197,160775052043
B100019.LB.102751198,160775052043
B100019.LB.102751199,160775052043
B100019.LB.102753300,160775052043
B100019.LB.102753303,160775052043
B100019.LB.102756088,160775052043
B100019.LB.102758156,160775052043
B100019.LB.102758173,160775052043
B100019.LB.102758175,160775052043
B100019.LB.102758191,160775052043
